fecha,combustible,estaciones,min,media,mediana,max
2026-08-16,g95e5,10877,1.244,1.7047,1.735,2.099
2026-08-16,g98e5,5510,1.345,1.8714,1.905,2.299
2026-08-16,gA,11227,1.182,1.8299,1.869,2.139
2026-08-16,gP,5901,1.438,1.9264,1.969,2.234
2026-08-16,glp,997,0.779,1.0728,1.099,1.289
2026-08-17,g95e5,10876,1.244,1.7047,1.735,2.099
2026-08-17,g98e5,5510,1.345,1.8714,1.905,2.299
2026-08-17,gA,11225,1.182,1.8299,1.869,2.139
2026-08-17,gP,5901,1.438,1.9265,1.969,2.234
2026-08-17,glp,997,0.779,1.0728,1.099,1.289
