fecha,provincia,combustible,estaciones,media,min
2026-08-16,BIZKAIA,g95e5,126,1.7372,1.539
2026-08-16,GIPUZKOA,g95e5,131,1.7402,1.587
2026-08-16,ARABA/ÁLAVA,g95e5,68,1.7325,1.519
2026-08-16,CORUÑA (A),g95e5,281,1.7328,1.589
2026-08-16,LUGO,g95e5,122,1.7457,1.599
2026-08-16,PONTEVEDRA,g95e5,224,1.7195,1.598
2026-08-16,OURENSE,g95e5,85,1.7314,1.589
2026-08-16,ASTURIAS,g95e5,224,1.7651,1.599
2026-08-16,BARCELONA,g95e5,768,1.6726,1.459
2026-08-16,SALAMANCA,g95e5,103,1.7143,1.529
2026-08-16,CANTABRIA,g95e5,165,1.7393,1.559
2026-08-16,MADRID,g95e5,854,1.7316,1.529
2026-08-16,NAVARRA,g95e5,218,1.6788,1.459
2026-08-16,HUESCA,g95e5,112,1.7004,1.475
2026-08-16,ZARAGOZA,g95e5,219,1.7106,1.479
2026-08-16,TERUEL,g95e5,64,1.6994,1.498
2026-08-16,LLEIDA,g95e5,160,1.6530,1.400
2026-08-16,GIRONA,g95e5,256,1.7210,1.491
2026-08-16,TARRAGONA,g95e5,213,1.6969,1.465
2026-08-16,VALENCIA / VALÈNCIA,g95e5,614,1.7055,1.489
2026-08-16,ALICANTE,g95e5,475,1.7458,1.536
2026-08-16,CASTELLÓN / CASTELLÓ,g95e5,189,1.6907,1.455
2026-08-16,MURCIA,g95e5,428,1.7042,1.498
2026-08-16,RIOJA (LA),g95e5,79,1.7028,1.539
2026-08-16,BALEARS (ILLES),g95e5,215,1.8087,1.668
2026-08-16,MELILLA,g95e5,12,1.4603,1.455
2026-08-16,CEUTA,g95e5,10,1.5629,1.549
2026-08-16,CIUDAD REAL,g95e5,193,1.6868,1.489
2026-08-16,GUADALAJARA,g95e5,86,1.7363,1.559
2026-08-16,ALBACETE,g95e5,142,1.7077,1.499
2026-08-16,TOLEDO,g95e5,238,1.7303,1.567
2026-08-16,CÓRDOBA,g95e5,201,1.6970,1.532
2026-08-16,CUENCA,g95e5,104,1.7377,1.525
2026-08-16,LEÓN,g95e5,157,1.7238,1.559
2026-08-16,SORIA,g95e5,42,1.6999,1.543
2026-08-16,BURGOS,g95e5,134,1.7467,1.539
2026-08-16,SEGOVIA,g95e5,74,1.7456,1.589
2026-08-16,VALLADOLID,g95e5,146,1.7275,1.530
2026-08-16,PALENCIA,g95e5,66,1.7671,1.587
2026-08-16,ZAMORA,g95e5,79,1.7200,1.570
2026-08-16,ÁVILA,g95e5,72,1.7468,1.609
2026-08-16,JAÉN,g95e5,206,1.7089,1.529
2026-08-16,MÁLAGA,g95e5,301,1.7501,1.555
2026-08-16,GRANADA,g95e5,269,1.6964,1.489
2026-08-16,HUELVA,g95e5,134,1.7446,1.510
2026-08-16,CÁDIZ,g95e5,285,1.7525,1.589
2026-08-16,ALMERÍA,g95e5,217,1.6776,1.499
