id,g95e5,gA,gP,g98e5,g95e5p,g95e10,g98e10,glp,gnc,gnl,bio,etanol,h2,gB
1,1.939,1.779,1.839,2.119,,,,,,,,,,
2,1.799,1.759,,,,,,,,,,,,
3,1.945,1.909,1.959,2.065,,,,,,,,,,
4,1.849,1.839,1.919,1.989,,,,,,,,,,
5,1.925,1.895,1.935,2.075,,,,,,,,,,1.555
6,1.949,1.915,2.030,2.069,,,,,,,,,,
7,1.909,1.899,,2.079,,,,,,,,,,1.639
8,1.908,1.869,1.930,2.002,,,,,,,,,,
9,1.475,1.575,,,,,,,,,,,,
10,1.889,1.849,,1.989,,,,,,,,,,
11,1.918,1.859,,2.029,,,,,,,,,,1.788
12,1.849,1.839,1.919,1.989,,,,,,,,,,
14,1.890,1.794,1.859,1.955,,,,0.929,,,,,,
15,1.869,1.799,1.839,1.939,,,,,,,,,,1.570
16,1.955,1.905,,2.115,,,,,,,,,,
17,1.949,1.909,1.969,2.030,,,,,,,,,,
18,1.819,1.789,1.849,1.919,,,,,,,,,,
19,1.919,1.895,1.985,2.059,,,,,,,,,,
20,1.899,1.879,1.959,1.999,,,,,,,,,,1.699
21,1.925,1.899,1.969,2.095,,,,0.999,,,,,,
22,1.749,1.699,,,,,,,,,,,,
23,1.869,1.869,1.919,1.929,,,,0.999,,,,,,1.679
24,1.730,1.715,,,,,,,,,,,,
25,1.939,1.899,2.039,2.039,,,,,,,,,,
26,1.949,1.899,1.929,2.009,,,,,,,,,,
27,1.919,1.929,2.019,,,,,,,,,,,
28,1.949,1.919,1.969,2.089,,,,,,,,,,
29,1.879,1.859,1.909,,,,,,,,,,,
30,1.779,1.759,,,,,,,,,,,,
31,1.799,1.779,,,,,,,,,,,,
32,1.809,1.709,1.769,,,,,,,,,,,
33,1.669,1.627,1.727,,,,,,,,,,,
34,1.735,1.689,1.789,,,,,,,,,,,
35,1.759,1.639,1.739,,,,,,,,,,,
36,1.656,1.589,1.689,,,,,,,,,,,
37,1.737,1.639,1.739,,,,,,,,,,,
39,1.899,1.819,1.859,2.069,,,,,,,,,,
40,1.899,1.859,1.899,2.079,,,,,,,,,,
41,1.729,1.719,,,,,,,,,,,,
42,1.989,1.959,2.059,,2.059,,,,,,,,,
43,1.919,2.019,2.109,2.019,,,,,,,,,,
45,1.949,1.895,1.995,2.059,,,,,,,,,,
46,1.949,1.899,1.959,2.069,,,,,,,,,,
47,1.969,1.889,1.939,2.109,2.039,,,,,,,,,
48,1.945,1.909,,2.065,,,,,,,,,,1.815
49,1.945,1.909,,2.065,,,,1.165,,,,,,1.815
51,1.939,1.925,,2.079,,,,,,,,,,1.789
52,1.955,1.925,1.985,2.085,,,,,,,,,,
55,1.939,1.905,2.005,2.099,,,,,,,,,,1.785
56,1.919,1.849,1.939,2.029,,,,,,,,,,
57,1.935,1.895,1.995,2.095,,,,,,,,,,
59,1.969,1.909,,2.129,,,,,,,,,,
60,1.945,1.909,1.979,2.055,,,,,,,,,,
61,1.939,1.899,1.979,2.069,,,,,,,,,,1.809
62,1.949,1.869,1.959,,,,,,,,,,,1.799
63,1.969,1.929,1.999,2.079,,,,,,,,,,
64,1.945,1.919,1.969,2.105,,,,,,,,,,
65,1.939,1.899,1.979,2.069,,,,,,,,,,
66,1.834,1.734,1.784,,1.884,,,,,,,,,1.719
67,1.889,1.849,1.899,,,,,,,,,,,
68,1.889,1.849,1.899,1.999,,,,,,,,,,
69,1.869,1.829,,1.989,,,,,,,,,,1.729
70,1.919,1.879,1.989,2.029,,,,,,,,,,
71,1.919,1.879,1.989,2.029,,,,,,,,,,
72,1.829,1.709,1.759,,1.879,,,,,,,,,
73,1.849,1.829,,,,,,,,,,,,
74,1.909,1.869,1.959,2.049,,,,,,,,,,
76,1.779,1.779,1.829,,1.829,,,,,,,,,
77,1.949,1.915,2.030,2.069,,,,,,,,,,
78,1.949,1.915,2.030,,2.019,,,,,,,,,
79,1.955,1.929,,2.065,2.025,,,1.195,,,,,,
80,1.945,1.909,,2.105,,,,,,,,,,
83,1.969,1.929,1.979,,,,,,,,,,,1.795
84,1.949,1.925,,2.059,2.019,,,1.195,,,,,,
86,1.935,1.899,,2.095,,,,,,,,,,
87,1.939,1.899,,,,,,,,,,,,
88,1.939,1.905,,2.069,,,,,,,,,,
89,1.908,1.869,,,,,,,,,,,,
90,1.885,1.863,2.084,,,,,,,,,,,
93,1.955,1.919,1.969,2.065,,,,,,,,,,
96,1.959,1.925,,,,,,,,,,,,
97,1.935,1.895,,2.095,,,,,,,,,,
98,1.839,1.749,1.749,,,,,,,,,,,
99,1.839,1.749,1.749,,,,,,,,,,,
100,1.955,1.905,1.985,,,,,1.155,,,,,,
101,1.935,1.899,1.999,2.095,,,,,,,,,,1.785
102,1.839,1.759,1.819,,,,,,,,,,,
103,1.949,1.899,1.959,2.069,,,,,,,,,,
104,1.955,1.885,,2.065,,,,1.165,,,,,,
105,1.955,1.885,,2.065,,,,,,,,,,
106,1.955,1.885,,2.065,2.015,,,,,,,,,
107,1.955,1.885,,2.065,2.015,,,,,,,,,
110,1.949,1.915,2.030,,2.019,,,,,,,,,
111,1.949,1.925,,2.109,,,,,,,,,,
112,1.949,1.925,,2.109,,,,,,,,,,
114,1.900,1.800,2.000,,,,,,,,,,,1.700
115,1.929,1.899,,2.029,,,,,,,,,,
116,1.949,1.869,,,,,,,,,,,,1.799
118,1.949,1.909,1.989,2.079,,,,,,,,,,
120,1.989,1.959,2.059,2.099,,2.059,,,,,,,,
121,1.939,1.899,1.979,2.069,,,,,,,,,,1.809
122,1.939,1.899,1.959,2.069,,,,,,,,,,
125,1.949,1.915,2.030,2.069,2.019,,,1.089,,,,,,
126,1.949,1.915,2.030,2.069,2.019,,,1.089,,,,,,
127,1.939,1.905,1.955,2.089,,,,,,,,,,
128,1.939,1.905,,2.089,,,,1.175,1.739,,,,,
130,1.945,1.905,,2.065,,,,,,,,,,
133,1.975,1.895,,2.085,,,,,,,,,,
134,1.939,1.919,,2.049,,,,,,,,,,
135,1.939,1.919,,,,,,,,,,,,
136,1.975,1.929,,2.085,,,,,1.739,,,,,
137,1.969,1.929,1.979,,,,,,,,,,,
138,1.945,1.919,,,,,,1.189,,,,,,1.825
139,1.945,1.909,1.999,2.105,,,,1.179,,,,,,
140,1.939,1.899,1.979,2.069,,,,,,,,,,1.809
141,1.975,1.915,1.965,2.085,,,,,,,,,,
142,1.985,1.929,,2.095,,,,1.165,,,,,,
143,1.949,1.925,,2.059,,,,,,,,,,
144,1.949,1.909,1.979,2.109,,,,,,,,,,1.749
145,,1.915,2.030,2.069,2.019,,,,,,,,,
146,,1.915,2.030,2.069,2.019,,,,,,,,,
147,1.799,1.699,1.799,1.899,,,,,,,,,,
148,1.989,1.959,2.059,,,,,,,,,,,1.769
150,1.939,1.849,,,,,,,,,,,,
151,1.849,1.799,1.899,,,,,,,,,,,
152,1.809,1.709,1.789,,,,,,,,,,,
153,1.849,1.794,1.894,,,,,,,,,,,
154,1.777,1.777,1.867,,,,,,,,,,,
155,1.665,1.619,1.709,,,,,,,,,,,
156,1.729,1.729,1.799,,,,,,,,,,,
158,1.689,1.678,1.688,,1.699,,,,,,,,,
159,1.899,2.004,2.079,,1.979,,,,,,,,,1.889
160,1.759,1.629,1.649,1.859,,,,,,,,,,
161,1.819,1.769,1.847,,,,,,,,,,,
162,1.839,1.849,,1.929,,,,,,,,,,
163,1.819,1.799,1.849,,,,,,,,,,,
164,1.899,1.845,1.935,,,,,,,,,,,
165,,1.895,,,,,,,,,,,,
166,1.969,1.909,1.999,2.069,,,,,,,,,,
169,1.965,1.899,,2.075,,,,,,,,,,
170,1.899,1.845,1.935,2.039,,,,,,,,,,
172,1.899,1.849,1.939,2.039,,,,,,,,,,
173,1.969,1.899,,2.069,2.039,,,,,,,,,
174,1.969,1.899,,2.069,,,,,,,,,,1.799
175,1.935,1.899,,2.085,,,,,,,,,,
176,1.935,1.899,,,,,,,,,,,,
177,1.919,1.885,,2.039,,,,,,,,,,
178,1.919,1.885,,2.039,,,,,,,,,,
180,1.965,1.869,,2.095,,,,,,,,,,1.795
181,1.959,1.865,,2.069,,,,,,,,,,
182,1.925,1.869,,2.085,,,,,,,,,,
183,1.965,1.909,,2.075,,,,,,,,,,
184,1.939,1.869,1.909,,1.999,,,,,,,,,
185,1.919,1.865,,2.079,,,,,,,,,,
186,1.959,1.899,,2.069,,,,1.195,,,,,,
187,1.949,1.899,,2.059,,,,,,,,,,
188,1.959,1.895,,2.119,,,,,,,,,,
193,1.935,1.909,,,,,,,,,,,,
195,1.889,1.994,,,,,,,,,,,,
200,1.945,1.889,,2.055,,,,,,,,,,
201,1.945,1.889,,2.075,,,,,,,,,,
202,1.945,1.889,,2.075,,,,1.199,1.739,,,,,
203,1.949,1.889,,2.059,2.019,,,1.165,,,,,,
204,1.949,1.889,,2.059,2.019,,,1.165,,,,,,
205,1.939,1.924,1.994,,,,,,,,,,,
206,1.945,1.889,,2.055,,,,,,,,,,
207,1.949,1.895,,2.079,2.019,,,,,,,,,
208,1.949,1.895,,2.079,2.029,,,1.179,,,,,,
209,1.929,1.865,,2.049,,,,,,,,,,1.809
211,1.959,1.899,,2.069,,,,,,,,,,
214,1.979,1.899,,2.069,,,,,,,,,,
215,1.979,1.899,,2.069,,,,,,,,,,
216,1.965,1.895,,,,,,,,,,,,
217,1.939,1.924,1.994,1.999,,,,,,,,,,1.944
219,1.909,1.849,1.899,,1.959,,,,,,,,,
220,1.909,1.849,1.899,,1.959,,,,,,,,,
222,1.899,1.844,1.924,,,,,,,,,,,
224,2.029,1.949,2.049,,,,,,,,,,,1.849
227,1.935,1.909,,,,,,,,,,,,
228,1.955,1.865,,2.115,,,,,,,,,,
229,1.925,1.865,,2.045,1.995,,,,,,,,,
231,1.939,1.859,,2.029,,,,,,,,,,
232,1.945,1.889,,2.055,2.025,,,,,,,,,
233,1.945,1.889,,2.055,2.025,,,,,,,,,
234,1.925,1.909,,2.085,,,,,,,,,,
237,1.929,1.909,,,,,,,,,,,,
238,1.959,1.899,,2.089,,,,,,,,,,1.759
239,1.919,1.869,,2.049,,,,1.185,,,,,,
240,1.919,1.869,,2.049,,,,,,,,,,
241,1.925,1.889,,2.045,,,,,,,,,,
242,1.945,1.889,,2.075,,,,,,,,,,
243,1.965,1.909,,2.075,,,,,,,,,,
244,1.939,1.885,,,,,,1.199,,,,,,
245,1.939,1.885,,2.049,,,,,,,,,,
246,1.945,1.889,,2.075,,,,1.199,,,,,,
247,1.959,1.895,1.980,2.059,,,,,,,,,,
248,1.719,1.729,1.809,,,,,,,,,,,
249,1.779,1.719,1.819,1.879,,,,,,,,,,
251,1.709,1.767,,,,,,,,,,,,
252,1.769,1.729,1.759,1.899,,,,,,,,,,
253,1.899,1.849,1.899,,1.949,,,,,,,,,
254,1.929,1.838,1.999,,,,,,,,,,,
255,1.919,1.879,,,,,,,,,,,,
256,1.829,1.769,1.839,1.929,,,,,,,,,,
257,1.769,1.719,1.789,1.869,,,,,,,,,,
258,1.895,1.845,,2.050,,,,,,,,,,
259,1.879,1.885,1.985,2.019,,,,,,,,,,1.749
260,1.899,1.829,1.879,1.939,,,,,,,,,,1.789
261,1.919,1.899,1.959,2.089,,,,,,,,,,
262,1.899,1.869,1.899,2.039,,,,0.970,,,,,,1.509
264,1.911,1.866,,,,,,,,,,,,1.711
265,1.939,1.829,1.889,,,,,,,,,,,1.545
266,1.869,1.809,1.879,2.009,,,,,,,,,,
268,1.898,1.818,1.909,,,,,,,,,,,
269,1.928,1.858,1.918,2.058,,,,,,,,,,
270,1.889,1.889,1.949,1.999,,,,,,,,,,
271,1.845,1.815,1.835,,,,,1.095,,,,,,
272,1.899,1.769,1.999,,,,,,,,,,,
273,1.929,1.879,,,,,,,,,,,,
274,1.955,1.857,,,,,,1.084,,,,,,1.655
275,1.799,1.777,,1.888,,,,,,,,,,
276,1.769,1.729,,1.899,,,,0.999,,,,,,
277,1.949,1.919,2.029,2.079,,,,,,,,,,
278,1.798,1.738,,1.858,,,,,,,,,,
279,1.889,1.819,,2.009,,,,,,,,,,
280,1.769,1.729,,1.899,,,,,,,,,,
281,1.929,1.944,2.014,2.039,,,,,,,,,,1.864
282,1.769,1.719,1.789,1.869,,,,,,,,,,
284,1.849,1.769,1.769,,1.859,,,,,,,,,
285,1.890,1.970,,,,,,,,,,,,
286,1.949,1.869,1.929,2.079,,,,,,,,,,
287,1.959,1.899,1.999,2.099,,,,,,,,,,
290,1.859,1.835,1.895,1.905,,,,,,,,,,
291,1.919,1.879,1.999,1.985,,,,,,,,,,1.599
293,1.899,1.779,1.879,2.089,,,,,,,,,,1.549
295,1.845,1.815,,1.975,,,,1.095,,,,,,
296,1.959,1.829,1.959,,,,,,,,,,,1.759
297,1.739,1.719,1.759,1.819,,,,0.999,,,,,,
298,1.889,1.849,,1.999,,,,,,,,,,
299,1.899,1.769,1.819,1.999,,,,,,,,,,1.629
300,1.899,1.799,1.879,1.959,,,,0.989,,,,,,
301,1.829,1.829,1.899,,,,1.899,,,,,,,1.669
302,1.749,1.729,1.799,1.867,,,,,,,,,,
303,1.799,1.769,,,,,,,,,,,,
304,1.839,1.769,1.829,1.929,,,,,,,,,,
305,1.929,1.889,1.969,,,,,,,,,,,1.689
306,1.899,1.849,1.895,1.979,,,,,,,,,,
308,1.809,1.769,1.819,,1.859,,,,,,,,,
310,1.899,1.849,,1.999,,,,,,,,,,
311,1.839,1.769,1.829,1.929,,,,,,,,,,
312,1.899,1.869,1.939,2.019,,,,,,,,,,1.639
313,1.779,1.729,,1.869,,,,,,,,,,
314,1.889,1.889,1.939,,,,,,,,,,,
315,1.878,1.828,,1.929,,,,,,,,,,1.628
318,1.844,1.788,,,,,,,,,,,,1.744
319,1.849,1.799,,1.919,,,,,,,,,,
320,1.939,1.899,1.989,2.039,,,,,,,,,,
323,1.959,1.919,1.949,1.999,,,,,,,,,,
324,1.918,1.864,1.906,2.018,,,,,,,,,,1.650
325,1.879,1.859,1.959,,,,,,,,,,,
326,1.949,1.879,,2.109,,,,,,,,,,
327,1.909,1.908,1.999,2.004,,,,,,,,,,
330,1.919,1.885,1.985,2.055,,,,,,,,,,
331,1.969,1.909,,,,,,,,,,,,1.669
332,1.949,1.889,1.939,2.059,,,,,,,,,,
333,1.799,1.769,,,,,,,,,,,,
334,1.909,1.879,1.979,,,,,,,,,,,1.675
335,1.899,1.859,1.959,2.029,,,,,,,,,,
336,1.925,1.919,1.969,2.035,,,,1.165,,,,,,
337,1.919,1.869,1.919,2.039,,,,,,,,,,
338,1.929,1.899,,2.039,,,,1.195,1.739,,,,,
339,1.899,1.899,1.989,,,,,,,,,,,1.629
340,1.919,1.869,1.919,2.039,,,,,,,,,,
341,1.915,1.865,1.915,2.025,,,,,,,,,,
342,1.969,1.909,2.019,2.129,,,,,,,,,,
343,1.699,1.625,1.645,,1.709,,,,,,,,,
344,2.059,1.919,,,,,,1.195,,,,,,
345,1.939,1.919,1.994,2.059,,,,,,,,,,
346,1.778,1.759,,,,,,,,,,,,1.639
347,1.966,1.818,,1.975,,,,,,,,,,
348,1.889,1.879,1.979,1.999,,,,,,,,,,1.749
349,1.829,1.809,1.909,1.999,,,,,,,,,,
351,1.979,1.949,1.999,2.099,,,,,,,,,,
353,1.869,1.879,1.929,1.989,,,,1.059,,,,,,
354,1.889,1.849,1.899,2.019,,,,,,,,,,
355,1.909,1.865,1.925,2.029,,,,1.189,,,,,,
356,1.929,1.925,1.975,2.059,,,,,,,,,,
358,1.859,1.829,1.879,,1.909,,,,,,,,,
361,1.839,1.799,1.849,,1.889,,,,,,,,,
362,1.785,1.755,1.795,1.885,,,,,,,,,,
363,1.869,1.849,1.939,,1.919,,,,,,,,,
364,1.939,1.899,,2.039,,,,,,,,,,
365,1.774,1.709,1.759,,,,,,,,,,,
366,1.849,1.809,1.859,,1.899,,,,,,,,,
368,1.789,1.779,1.829,,1.839,,,,,,,,,
369,1.909,1.869,1.949,2.029,,,,,,,,,,
370,1.929,1.899,,1.999,,,,,,,,,,
371,1.949,1.939,2.049,2.149,,,,,,,,,,
372,1.839,1.799,1.849,,,,,1.189,,,,,,1.599
373,1.998,1.948,2.028,,,,,,,,,,,
374,1.929,1.879,,,,,,,,,,,,
375,1.959,1.935,,,,,,,,,,,,
376,2.039,1.929,1.979,2.149,,,,,,,,,,
378,1.959,1.925,1.975,2.069,,,,1.195,,,,,,
380,1.935,1.905,1.955,2.095,,,,,,,,,,1.759
381,1.945,1.879,,,,,,,,,,,,1.765
383,1.959,1.935,,2.069,,,,,,,,,,1.779
384,1.955,1.919,1.989,2.115,,,,,,,,,,1.819
385,1.949,1.915,2.010,2.069,1.999,,,,,,,,,
386,1.935,1.909,1.999,,,,,,,,,,,
388,1.969,1.899,,2.079,,,,,,,,,,
389,1.929,1.945,1.995,,,,,,,,,,,1.819
390,1.995,1.945,1.995,2.105,,,,,,,,,,1.819
391,1.939,1.905,,,,,,,,,,,,1.759
392,1.998,1.898,,2.098,,,,,,,,,,1.690
394,1.995,1.945,,2.105,,,,,,,,,,
396,1.819,1.799,,1.869,,,,,,,,,,
397,1.995,1.939,1.989,,,,,,,,,,,1.819
398,1.949,1.945,1.995,2.059,,,,,,,,,,
399,1.929,1.879,,,,,,,,,,,,
400,1.890,1.838,,,,,,,,,,,,
401,1.929,1.879,1.979,,,,,,,,,,,1.799
402,1.969,1.925,2.034,2.089,2.009,,,,,,,,,
405,1.735,1.663,1.778,1.754,,,,,,,,,,
406,1.955,1.925,1.975,2.065,,,,,,,,,,
407,1.979,1.905,1.965,2.089,,,,,,,,,,
409,1.889,1.849,1.899,,1.939,,,,,,,,,1.679
410,1.945,1.909,1.959,2.055,,,,1.175,,,,,,
411,1.945,1.909,1.959,2.055,,,,1.169,,,,,,
413,1.979,1.895,1.955,2.089,,,,,,,,,,
414,1.689,1.709,1.799,1.799,,,,,,,,,,
415,1.864,1.814,1.864,,,,,,,,,,,
416,1.979,1.895,1.985,2.079,,,,,,,,,,
417,1.979,1.895,1.985,2.079,2.019,,,,,,,,,
418,1.969,1.915,1.990,2.069,,,,1.169,,,,,,1.749
419,1.969,1.915,1.980,2.069,,,,,,,,,,
420,1.949,1.869,1.899,,,,,1.099,,,,,,
423,1.929,1.909,,,,,2.005,,,,,,,
424,1.769,1.679,1.759,1.879,,,,1.109,,,,,,1.469
425,1.949,1.905,1.980,,2.009,,,,,,,,,
426,1.899,1.849,,1.959,,,,,,,,,,
427,1.739,1.709,,1.989,,,,,,,,,,
429,1.749,1.709,1.759,1.859,,,,,,,,,,
431,1.949,1.948,2.049,2.049,,,,,,,,,,1.864
436,1.889,1.839,1.889,,1.939,,,,,,,,,
437,1.858,1.798,1.864,1.997,,,,,,,,,,1.599
439,1.905,1.829,1.959,1.999,,,,,,,,,,
441,1.905,1.855,,1.967,,,,,,,,,,1.665
442,1.929,1.859,,2.089,,,,,,,,,,
443,1.909,1.859,,2.069,,,,,,,,,,
444,1.779,1.729,,1.899,,,,,,,,,,
446,1.949,1.869,,2.109,,,,,,,,,,
447,1.849,1.794,1.799,1.979,,,,,,,,,,
448,1.969,1.889,1.949,2.099,,,,,,,,,,
449,1.909,1.849,1.909,,,,,,,,,,,
450,1.889,1.819,1.939,2.099,,,,,,,,,,
451,1.939,1.889,1.949,2.089,,,,,,,,,,
454,1.789,1.749,1.799,1.899,,,,,,,,,,
455,1.985,1.915,1.935,1.995,,,,1.160,,,,,,1.625
456,1.868,1.859,1.966,1.997,,,,,,,,,,1.655
457,1.905,1.845,1.925,2.065,,,,1.139,,,,,,
458,1.969,1.909,,2.099,,,,,,,,,,
459,1.939,1.849,,2.099,2.009,,,1.119,,,,,,
460,1.899,1.869,1.934,,,,,,,,,,,1.799
461,1.869,1.909,,1.969,,,,,,,,,,1.729
462,1.889,1.879,1.959,2.019,,,,,,,,,,
464,1.828,1.778,1.838,1.958,,,,,,,,,,1.558
466,1.999,1.939,,2.089,,,,,,,,,,1.579
468,1.935,1.869,,2.095,,,,1.185,,,,,,
469,1.995,1.895,2.005,2.065,,,,,,,,,,
470,1.909,1.855,,,,,,,,,,,,
471,1.749,1.873,,,,,,0.887,,,,,,1.663
472,1.925,1.845,,,,,,,,,,,,
473,1.909,1.855,,2.069,,,,,,,,,,
474,1.959,1.879,,2.009,,,,,,,,,,
475,1.929,1.865,1.940,,2.009,,,,,,,,,
479,1.905,1.895,,2.065,,,,,,,,,,1.765
480,1.929,1.845,1.945,2.089,,,,,,,,,,
481,1.965,1.909,1.959,2.125,2.025,,,1.115,,,,,,
482,1.925,1.845,,2.085,,,,,,,,,,
484,1.999,1.899,,,,,,,,,,,,1.549
488,2.049,1.879,1.899,2.129,,,,,,,,,,1.599
489,1.999,1.939,,2.089,,,,,,,,,,1.579
491,1.999,1.939,,2.089,,,,,,,,,,
492,1.899,1.865,1.965,,,,,,,,,,,1.749
495,1.935,1.849,,2.045,2.005,,,,,,,,,
496,1.899,1.869,1.969,,,,,,,,,,,1.755
497,1.909,1.885,1.940,,,,,,,,,,,1.759
499,1.939,1.885,1.950,,1.999,,,,,,,,,1.759
500,1.929,1.899,1.949,1.999,,,,,,,,,,1.699
501,1.998,1.888,2.077,2.199,,,,,,,,,,1.792
502,1.769,1.729,1.759,1.899,,,,0.999,,,,,,
504,1.925,1.885,,2.085,,,,,,,,,,1.759
505,1.769,1.729,1.759,,,,,,,,,,,
506,1.919,1.855,1.930,,1.959,,,,,,,,,
507,1.969,1.869,,,,,,,,,,,,1.559
508,1.859,1.839,1.889,,,,,,,,,,,
509,1.899,1.859,1.939,,,,,,,,,,,
510,1.769,1.729,1.759,1.899,,,,,,,,,,
511,1.999,1.899,1.979,2.099,,,,1.059,,,,,,
512,1.998,1.888,2.077,2.199,,,,,,,,,,
513,1.929,1.889,1.949,,1.969,,,,,,,,,
514,1.929,1.885,1.970,2.009,1.999,,,,,,,,,
515,1.929,1.885,1.970,2.009,1.999,,,,,,,,,
516,1.859,1.839,,,,,,,,,,,,1.700
517,1.969,1.899,,2.109,,,,,,,,,,1.699
518,1.969,1.889,1.949,,,,,,,,,,,1.749
519,1.959,1.859,,2.099,,,,1.129,,,,,,1.739
520,1.919,1.889,1.939,,1.969,,,,,,,,,
521,1.899,1.865,,2.059,,,,,,,,,,1.749
524,1.905,1.879,1.979,,,,,,,,,,,1.755
525,1.909,1.879,1.979,2.069,,,,,,,,,,1.799
526,1.969,1.909,1.949,2.109,,,,,,,,,,1.749
527,1.899,1.865,,2.059,,,,,,,,,,1.785
528,2.049,1.889,,2.249,,,,,,,,,,1.719
529,1.999,1.889,1.949,2.099,,,,,,,,,,
530,1.749,1.719,1.739,,,,,,,,,,,
531,1.999,1.959,1.999,,,,,,,,,,,
534,1.723,1.815,2.060,,,,,,,,,,,1.581
535,1.905,1.879,,,,,,,,,,,,1.759
536,1.955,1.869,1.969,2.105,,,,,,,,,,
537,1.899,1.865,,,,,,,,,,,,1.789
538,1.919,1.919,1.970,2.029,1.979,,,,,,,,,
539,1.929,1.919,1.990,2.029,2.009,,,,,,,,,
543,1.969,1.929,1.979,,2.019,,,,,,,,,1.669
544,1.919,1.865,,2.079,,,,,,,,,,1.749
545,1.959,1.899,,2.109,,,,,,,,,,1.849
546,1.769,1.609,,,,,,,,,,,,
547,1.859,1.839,,,,,,,,,,,,1.409
549,1.935,1.865,,2.045,2.005,,,1.125,,,,,,
550,1.899,1.849,1.949,1.999,,,,,,,,,,
551,1.909,1.849,,2.069,,,,,,,,,,
552,1.909,1.885,1.940,,,,,,,,,,,1.759
553,1.929,1.889,,,,,,,,,,,,
554,1.955,1.919,1.969,2.065,,,,,,,,,,
555,1.969,1.909,,2.029,,,,,,,,,,
556,1.905,1.845,,,,,,,,,,,,1.769
557,1.939,1.865,1.940,2.039,,,,1.099,,,,,,
558,1.939,1.865,1.940,2.039,,,,,,,,,,
559,1.929,1.859,1.959,2.065,,,,,,,,,,1.569
561,1.929,1.845,,2.089,,,,,,,,,,
564,1.929,1.915,1.980,,,,,,,,,,,1.944
565,1.909,1.875,1.940,1.989,,,,0.959,,,,,,
566,1.965,1.909,,2.125,,,,,,,,,,
567,1.955,1.905,,,,,,,,,,,,
568,1.939,1.845,,,,,,,,,,,,
573,1.915,1.879,1.969,2.075,,,,,,,,,,1.805
574,1.999,1.924,1.941,,,,,,,,,,,1.710
575,1.999,1.939,,2.089,,,,,,,,,,
576,1.899,1.909,2.009,2.059,,,,,,,,,,1.805
577,1.955,1.899,,2.075,,,,,,,,,,
578,1.919,1.875,,2.089,,,,,,,,,,
579,1.739,1.689,1.699,,,,,,,,,,,
580,1.955,1.919,,2.065,,,,,,,,,,1.765
583,1.969,1.919,1.969,,,,,,,,,,,
584,1.899,1.865,1.955,2.059,,,,,,,,,,
585,1.909,1.869,,2.069,,,,,,,,,,1.775
586,1.969,1.909,1.959,2.109,,,,,,,,,,1.755
587,1.999,1.899,1.999,2.099,,,,1.129,,,,,,1.699
588,1.929,1.889,,2.089,,,,,,,,,,
589,1.929,1.895,,2.079,,,,,,,,,,1.805
