ts,combustible,precio
2026-08-16T13:22Z,g95e5,1.764
2026-08-16T13:22Z,g95e5p,1.854
2026-08-17T07:41Z,g95e5,1.774
2026-08-17T07:41Z,g95e5p,1.864
2026-08-17T08:28Z,gA,1.974
2026-08-17T08:28Z,gP,2.054
2026-08-17T10:19Z,g95e5,1.764
2026-08-17T10:19Z,g95e5p,1.854
2026-08-17T13:30Z,gA,1.964
2026-08-17T13:30Z,gP,2.044
2026-08-18T08:20Z,g95e5,1.774
2026-08-18T08:20Z,gA,1.974
2026-08-18T08:20Z,gP,2.054
2026-08-18T08:20Z,g95e5p,1.864
2026-08-18T10:15Z,g95e5,1.764
2026-08-18T10:15Z,g95e5p,1.854
2026-08-18T13:34Z,gA,1.964
2026-08-18T13:34Z,gP,2.044
2026-08-18T22:09Z,gA,1.984
2026-08-18T22:09Z,gP,2.064
