id,rotulo,direccion,municipio,provincia,lat,lon,horario,venta
1,EUSKOIL-STAR PETROLEUM,"CTRA.FORAL BI-633 km 32,3",Abadiño,BIZKAIA,43.170556,-2.597556,L: 07:00-22:00,P
2,ONROAD 24,CARRETERA GI-2132 ASTIGARRAGA-OIARTZUN KM. 10,Astigarraga,GIPUZKOA,43.281972,-1.916778,L-V: 06:00-22:00; S: 07:00-22:00; D: 08:00-22:00,P
3,REPSOL,AUTOVIA VITORIA-ATUBE KM. 6,Vitoria-Gasteiz,ARABA/ÁLAVA,42.895667,-2.702278,L-D: 06:00-22:00,P
4,SHELL,CARRETERA N-634 KM. 84,Iurreta,BIZKAIA,43.185778,-2.671556,L-V: 07:00-15:00,P
5,AVIA,"AVENIDA GARAY, 23",Artziniega,ARABA/ÁLAVA,43.123361,-3.122528,L-D: 06:00-22:00,P
6,CEPSA,"PASEO DR. BEGIRISTAIN, 75",Donostia-San Sebastián,GIPUZKOA,43.297083,-1.966250,L-D: 24H,P
7,AVIA,"POLIGONO ZUBIKOETA, 1",Ataun,GIPUZKOA,43.015361,-2.176500,L-D: 06:30-22:00,P
8,AVIA,"CR GI-631  P.K. 12,20 D",Azpeitia,GIPUZKOA,43.189667,-2.258778,L-S: 06:00-22:00; D: 09:00-22:00,P
9,BALLENOIL,"CALLE TORREKUA, 02",Eibar,GIPUZKOA,43.180389,-2.487861,L-D: 24H,P
10,E.S. ZESTOA-AVIA,"CARRETERA GI-631 KM. 5,00",Zestoa,GIPUZKOA,43.241444,-2.259444,L-S: 07:00-21:00; D: 07:00-14:00,P
11,"ANDAMUR ""SAN ROMAN""","POLIGONO OKITURRI, S/N",San Millán/Donemiliaga,ARABA/ÁLAVA,42.863500,-2.320361,L-D: 24H,P
12,SHELL,CARRETERA N-634 KM. 84,Iurreta,BIZKAIA,43.186278,-2.671000,L-D: 24H,P
14,AVIA,"SAN ANDRÉS AUZOA, 7 (BERGARA-VITORIA C-6213 km 80,3)",Arrasate/Mondragón,GIPUZKOA,43.048694,-2.497500,L-D: 05:00-23:00,P
15,AVIA AJARTE,"AVENIDA AIXARTE,",Arrigorriaga,BIZKAIA,43.201194,-2.898583,L-V: 06:00-22:00; S-D: 07:00-22:00,P
16,REPSOL,AUTOVIA N-1 km 358,Arrazua-Ubarrundia,ARABA/ÁLAVA,42.876861,-2.616361,L-D: 06:00-22:00,P
17,AVIA,AVDA.DE NAVARRA 5,Donostia-San Sebastián,GIPUZKOA,43.325889,-1.970639,L-D: 07:00-21:50,P
