id,combustible,actual,min30,max30,media30,dias
1,g95e5,1.939,1.689,1.939,1.7997,22
1,gA,1.799,1.749,1.899,1.8384,25
1,gP,1.859,1.809,1.959,1.8984,25
1,g98e5,2.119,1.869,2.119,1.9797,22
2,g95e5,1.859,1.679,1.859,1.7217,22
2,gA,1.779,1.759,1.779,1.7733,23
3,g95e5,1.965,1.805,1.965,1.8695,25
3,gA,1.925,1.828,1.975,1.9331,26
3,gP,1.985,1.888,2.039,1.9905,24
3,g98e5,2.095,1.925,2.095,1.9891,25
4,g95e5,1.859,1.739,1.859,1.7941,25
4,gA,1.839,1.799,1.949,1.8900,25
4,gP,1.919,1.879,2.029,1.9700,25
4,g98e5,1.999,1.879,1.999,1.9341,25
5,g95e5,1.925,1.815,1.925,1.8691,17
5,gA,1.915,1.845,1.975,1.9277,22
5,gP,1.955,1.895,2.015,1.9686,22
5,g98e5,2.075,1.985,2.075,2.0268,17
5,gB,1.595,1.495,1.595,1.5273,22
6,g95e5,1.974,1.814,1.974,1.8775,26
6,gA,1.944,1.868,2.029,1.9647,25
6,gP,2.059,1.958,2.119,2.0650,25
6,g98e5,2.094,1.964,2.094,2.0180,23
7,g95e5,1.939,1.799,1.939,1.8455,23
7,gA,1.909,1.839,1.949,1.9151,23
7,g98e5,2.099,1.959,2.099,2.0081,23
7,gB,1.699,1.639,1.699,1.6510,10
8,g95e5,1.908,1.818,1.908,1.8540,10
8,gA,1.869,1.801,1.899,1.8653,21
8,gP,1.930,1.870,1.960,1.9286,21
8,g98e5,2.002,1.925,2.002,1.9558,10
9,g95e5,1.719,1.475,1.719,1.6247,23
9,gA,1.645,1.575,1.789,1.7137,23
10,g95e5,1.899,1.769,1.899,1.8204,22
10,gA,1.859,1.839,1.899,1.8745,22
10,g98e5,1.999,1.889,1.999,1.9271,21
11,g95e5,1.948,1.788,1.948,1.8434,24
11,gA,1.879,1.798,1.928,1.8730,24
11,g98e5,2.039,1.909,2.039,1.9582,24
11,gB,1.825,1.695,1.825,1.7490,25
12,g95e5,1.859,1.739,1.859,1.7941,25
12,gA,1.839,1.799,1.949,1.8900,25
12,gP,1.919,1.879,2.029,1.9700,25
12,g98e5,1.999,1.879,1.999,1.9341,25
14,g95e5,1.890,1.699,1.890,1.7778,24
14,gA,1.794,1.794,1.839,1.8140,24
14,gP,1.859,1.839,1.879,1.8648,24
14,g98e5,1.955,1.819,1.955,1.8762,24
15,g95e5,1.869,1.669,1.869,1.7508,22
15,gA,1.839,1.759,1.859,1.8173,23
15,gP,1.879,1.799,1.899,1.8573,23
15,g98e5,1.939,1.739,1.939,1.8208,22
15,gB,1.610,1.470,1.610,1.5252,23
16,g95e5,1.979,1.779,1.979,1.8607,26
16,gA,1.919,1.824,1.969,1.9302,26
16,g98e5,2.149,1.959,2.149,2.0320,25
17,g95e5,1.949,1.799,1.949,1.8635,22
17,gA,1.919,1.840,1.979,1.9399,25
17,gP,1.979,1.945,1.979,1.9633,10
17,g98e5,2.069,1.939,2.069,1.9900,16
18,g95e5,1.839,1.729,1.839,1.7658,22
18,gA,1.819,1.749,1.859,1.8212,23
18,gP,1.879,1.809,1.919,1.8829,23
18,g98e5,1.939,1.829,1.939,1.8658,22
19,g95e5,1.939,1.779,1.939,1.8447,24
19,gA,1.929,1.809,1.969,1.9124,25
19,gP,2.019,1.899,2.059,2.0024,25
19,g98e5,2.079,1.919,2.079,1.9847,24
20,g95e5,1.929,1.799,1.929,1.8409,21
20,gA,1.879,1.849,1.879,1.8700,10
20,gP,1.959,1.939,1.999,1.9714,21
20,g98e5,1.999,1.969,1.999,1.9900,10
20,gB,1.699,1.699,1.699,1.6990,21
21,g95e5,1.939,1.795,1.939,1.8437,24
21,gA,1.909,1.825,1.955,1.9192,24
21,gP,1.969,1.895,2.050,2.0013,24
21,g98e5,2.099,1.955,2.099,2.0066,24
21,glp,0.999,0.999,0.999,0.9990,10
22,g95e5,1.799,1.709,1.799,1.7523,9
22,gA,1.717,1.699,1.749,1.7275,22
23,g95e5,1.899,1.729,1.899,1.7977,24
23,gA,1.869,1.849,1.869,1.8615,24
23,gP,1.929,1.919,1.929,1.9199,11
23,g98e5,1.999,1.859,1.999,1.9111,24
23,gB,1.679,1.599,1.679,1.6281,22
24,g95e5,1.730,1.590,1.730,1.6490,21
24,gA,1.715,1.680,1.750,1.7229,21
25,g95e5,1.939,1.819,1.939,1.8752,16
25,gA,1.899,1.859,1.999,1.9128,16
25,gP,2.039,1.979,2.119,2.0377,16
25,g98e5,2.039,1.899,2.039,1.9678,16
26,g95e5,1.959,1.829,1.959,1.9113,13
26,gA,1.909,1.849,1.939,1.8921,13
26,gP,1.969,1.899,2.019,1.9428,13
26,g98e5,2.009,2.009,2.019,2.0126,11
27,g95e5,1.929,1.769,1.929,1.8303,26
27,gA,1.939,1.864,1.994,1.9534,26
27,gP,2.029,1.954,2.084,2.0434,26
28,g95e5,1.969,1.809,1.969,1.8700,26
28,gA,1.929,1.844,1.959,1.9290,26
